year,state,candidate,party,candidatevotes
1980,Alabama,"Reagan, Ronald",republican,654192
1980,Alabama,"Carter, Jimmy",democrat,636730
1980,Alabama,"Anderson, John B.",independent,16481
1980,Alabama,"Rarick, John",conservative,15010
1980,Alabama,"Clark, Edward """"Ed""""",libertarian,13318
1980,Alabama,"Bubar, Benjamin """"Ben""""",statesman,1743
1980,Alabama,"Hall, Gus",communist party use,1629
1980,Alabama,"Deberry, Clifton",socialist workers,1303
1980,Alabama,"McReynolds, David",socialist,1006
1980,Alabama,"Commoner, Barry",citizens,517
1980,Alaska,"Reagan, Ronald",republican,86112
1980,Alaska,"Carter, Jimmy",democrat,41842
1980,Alaska,"Clark, Edward """"Ed""""",libertarian,18479
1980,Alaska,"Anderson, John B.",independent,11155
1980,Alaska,,,857
1980,Arizona,"Reagan, Ronald",republican,529688
1980,Arizona,"Carter, Jimmy",democrat,246843
1980,Arizona,"Anderson, John B.",independent,76952
1980,Arizona,"Clark, Edward """"Ed""""",libertarian,18784
1980,Arizona,"Deberry, Clifton",socialist workers,1100
1980,Arizona,"Commoner, Barry",citizens,551
1980,Arizona,"Hall, Gus",communist party use,25
1980,Arizona,"Griswold, Deirdre",workers world,2
1980,Arkansas,"Reagan, Ronald",republican,403164
1980,Arkansas,"Carter, Jimmy",democrat,398041
1980,Arkansas,"Anderson, John B.",independent,22468
1980,Arkansas,"Clark, Edward """"Ed""""",libertarian,8970
1980,Arkansas,"Commoner, Barry",citizens,2345
1980,Arkansas,"Bubar, Benjamin """"Ben""""",statesman,1350
1980,Arkansas,"Hall, Gus",communist party use,1244
1980,California,"Reagan, Ronald",republican,4522994
1980,California,"Carter, Jimmy",democrat,3082943
1980,California,"Anderson, John B.",independent,739618
1980,California,"Clark, Edward """"Ed""""",libertarian,148390
1980,California,"Commoner, Barry",citizens,61046
1980,California,"Smith, Maureen",peace & freedom,18106
1980,California,"Rarick, John",american independent party,9841
1980,Colorado,"Reagan, Ronald",republican,652264
1980,Colorado,"Carter, Jimmy",democrat,368009
1980,Colorado,"Anderson, John B.",national unity campaign,130633
1980,Colorado,"Clark, Edward """"Ed""""",libertarian,25744
1980,Colorado,"Commoner, Barry",citizens,5614
1980,Colorado,"Bubar, Benjamin """"Ben""""",statesman,1180
1980,Colorado,"Pulley, Andrew",socialist workers,519
1980,Colorado,"Hall, Gus",communist party use,487
1980,Connecticut,"Reagan, Ronald",republican,677210
1980,Connecticut,"Carter, Jimmy",democrat,541732
1980,Connecticut,"Anderson, John B.",anderson coalition,171807
1980,Connecticut,"Clark, Edward """"Ed""""",libertarian,8570
1980,Connecticut,"Commoner, Barry",citizens,6130
1980,Connecticut,,,836
1980,Delaware,"Reagan, Ronald",republican,111252
1980,Delaware,"Carter, Jimmy",democrat,105754
1980,Delaware,"Anderson, John B.",independent,16288
1980,Delaware,"Clark, Edward """"Ed""""",libertarian,1974
1980,Delaware,"Greaves, Percy L, Jr.",american,400
1980,District of Columbia,"Carter, Jimmy",democrat,130231
