year,state,VEP,totalvotes
2012.0,Alabama,3.539217e6,2074338
2012.0,Alaska,511792.0,300495
2012.0,Arizona,4.3879e6,2299254
2012.0,Arkansas,2.109847e6,1069468
2012.0,California,2.3681837e7,13038547
2012.0,Colorado,3.675871e6,2569516
2012.0,Connecticut,2.543202e6,1558204
2012.0,Delaware,663967.0,413890
2012.0,District of Columbia,477582.0,293764
2012.0,Florida,1.3495057e7,8474179
2012.0,Georgia,6.606607e6,3897839
2012.0,Hawaii,982902.0,437159
2012.0,Idaho,1.09141e6,652274
2012.0,Illinois,8.899143e6,5242014
2012.0,Indiana,4.755291e6,2624534
2012.0,Iowa,2.251748e6,1582180
2012.0,Kansas,2.030686e6,1159971
2012.0,Kentucky,3.229185e6,1797212
2012.0,Louisiana,3.311626e6,1994065
2012.0,Maine,1.046008e6,724758
2012.0,Maryland,4.063582e6,2707327
2012.0,Massachusetts,4.809675e6,3184196
2012.0,Michigan,7.312725e6,4730961
2012.0,Minnesota,3.861598e6,2936561
2012.0,Mississippi,2.166825e6,1285584
2012.0,Missouri,4.432957e6,2757323
2012.0,Montana,774476.0,484048
2012.0,Nebraska,1.316915e6,794379
2012.0,Nevada,1.800969e6,1014918
2012.0,New Hampshire,1.01342e6,710972
2012.0,New Jersey,5.918182e6,3638499
2012.0,New Mexico,1.436363e6,783758
2012.0,New York,1.3324107e7,7116784
2012.0,North Carolina,6.947954e6,4505372
2012.0,North Dakota,539164.0,322932
2012.0,Ohio,8.649495e6,5580822
2012.0,Oklahoma,2.713268e6,1334872
2012.0,Oregon,2.836101e6,1789270
2012.0,Pennsylvania,9.651432e6,5742040
2012.0,Rhode Island,768918.0,446049
2012.0,South Carolina,3.486838e6,1964118
2012.0,South Dakota,613190.0,363815
2012.0,Tennessee,4.736084e6,2458577
2012.0,Texas,1.6119973e7,7993851
2012.0,Utah,1.833339e6,1017440
2012.0,Vermont,493355.0,299290
2012.0,Virginia,5.834676e6,3854489
2012.0,Washington,4.82206e6,3125516
2012.0,West Virginia,1.447066e6,670438
2012.0,Wisconsin,4.20937e6,3071434
2012.0,Wyoming,425142.0,250701
2008.0,Alabama,3.45451e6,2099819
2008.0,Alaska,479429.0,326197
2008.0,Arizona,4.046075e6,2293475
2008.0,Arkansas,2.071563e6,1086617
2008.0,California,2.2261504e7,13561900
2008.0,Colorado,3.382959e6,2401361
2008.0,Connecticut,2.471082e6,1646792
2008.0,Delaware,628200.0,412412
2008.0,District of Columbia,432566.0,265853
2008.0,Florida,1.2687407e7,8390744
2008.0,Georgia,6.281872e6,3924486
2008.0,Hawaii,930067.0,456064
2008.0,Idaho,1.029416e6,655122
2008.0,Illinois,8.681138e6,5522371
2008.0,Indiana,4.653019e6,2751054
2008.0,Iowa,2.216094e6,1537123
2008.0,Kansas,1.991759e6,1235872
2008.0,Kentucky,3.152629e6,1826620
2008.0,Louisiana,3.205794e6,1960761
